Disaster Date,Province,Affected People,Affected Households,Deaths,Injured,Housing Damage,Business Damage,Agriculture Damage,Total Damage
1/10/2023,Khon Kaen,128,33,0,0,0,0,0,161
1/10/2023,Chachoengsao,0,0,0,0,0,0,0,0
1/10/2023,dry,0,0,0,0,0,0,0,0
1/10/2023,Nakhon Pathom,792,264,0,0,0,0,0,1056
1/10/2023,Nakhon Sawan,0,0,0,0,0,0,0,0
1/10/2023,Prachin Buri,870,290,0,0,80,0,0,1240
1/10/2023,Ayutthaya,51,17,0,0,0,0,175,243
1/10/2023,Phichit,0,0,0,0,0,0,0,0
1/10/2023,Saraburi,3,1,0,0,59,0,0,63
1/10/2023,Sa Kaeo,423,155,0,0,0,0,563,1141
1/10/2023,Sukhothai,3847,1810,0,0,0,0,27081,32738
1/10/2023,Nong Bua Lamphu,3,1,0,0,0,0,2583,2587
1/10/2023,Ang Thong,3,1,0,0,0,0,8,12
1/10/2023,Chiang Mai,220,57,0,0,0,0,0,277
1/10/2023,Mae Hong Son,0,0,0,0,0,0,0,0
1/11/2023,Kamphaeng Phet,3,1,0,0,0,0,1200,1204
1/11/2023,Yala,3,1,0,0,0,0,0,4
1/11/2023,Sa Kaeo,180,60,0,0,0,0,600,840
1/11/2023,Chiang Rai,15,5,0,0,0,0,9,29
1/12/2023,Trang,0,0,0,0,0,0,0,0
1/12/2023,Narathiwat,3774,862,0,0,1131,0,0,5767
1/12/2023,Yala,6,2,0,0,9,0,0,17
1/7/2023,Trang,15,5,0,0,26,0,0,46
1/7/2023,Phangnga,42,14,0,0,133,0,0,189
1/7/2023,Satun,0,0,0,0,0,0,0,0
1/7/2023,Nong Khai,0,0,0,0,0,0,0,0
1/8/2023,Kalasin,120,40,0,0,0,0,0,160
1/8/2023,Nakhon Phanom,12279,4093,0,0,0,0,18432,34804
1/8/2023,Sakon Nakhon,1302,444,0,0,0,0,3392,5138
1/8/2023,Satun,0,0,0,0,0,0,0,0
1/8/2023,Ubon Ratchathani,2928,976,0,0,0,0,8073,11977
1/8/2023,Chiang Mai,20145,12124,0,0,0,0,20,32289
1/9/2023,Chanthaburi,1251,417,1,1,0,0,0,1670
1/9/2023,Yasothon,24,8,0,0,0,0,127197,127229
1/9/2023,Surin,30,10,0,0,0,0,0,40
1/9/2023,Ubon Ratchathani,0,0,0,0,0,0,0,0
1/9/2023,Chiang Mai,18154,6033,0,0,0,0,1174,25361
1/9/2023,spread,21,7,0,0,4,0,2,34
10/10/2023,Kanchanaburi,30,30,0,0,0,0,0,60
10/10/2023,Kamphaeng Phet,3,1,0,0,0,0,111,115
10/10/2023,Chanthaburi,1,1,0,0,0,0,30,32
10/10/2023,dry,3,1,0,0,0,0,0,4
10/10/2023,Nakhon Nayok,0,0,0,0,0,0,0,0
10/10/2023,Nakhon Ratchasima,273,91,0,0,2974,0,10036,13374
10/10/2023,Buriram,63,21,0,0,0,0,468,552
10/10/2023,Prachin Buri,3,1,0,0,48,0,0,52
10/10/2023,Phichit,0,0,0,0,0,0,0,0
10/10/2023,Roi Et,1218,406,0,0,0,0,252,1876
10/10/2023,Saraburi,24,8,0,0,40,0,4109,4181
10/10/2023,Sa Kaeo,600,200,0,0,0,0,200,1000
10/10/2023,Suphan Buri,6,2,0,0,1,0,0,9
10/10/2023,Surin,3,1,0,0,0,0,0,4
10/10/2023,Sukhothai,125,28,0,0,0,0,115,268
10/10/2023,Nong Bua Lamphu,3,1,0,0,1,0,0,5
10/10/2023,Uttaradit,1329,443,0,0,0,0,2696,4468
10/10/2023,Ang Thong,3,1,0,0,0,0,10,14
10/10/2023,Chiang Rai,150,50,0,0,0,0,0,200
10/10/2023,Mae Hong Son,0,0,0,0,0,0,0,0
10/7/2023,Kalasin,100,50,0,0,6,0,0,156
10/7/2023,Chiang Mai,3,1,0,0,0,0,0,4
10/8/2023,Sakon Nakhon,1089,363,0,0,0,0,2813,4265
10/8/2023,Nong Khai,0,0,0,0,0,0,0,0
10/9/2023,Nan,3,1,0,0,0,0,0,4
10/9/2023,Phayao,0,0,0,0,0,0,0,0
10/9/2023,Mukdahan,100,195,0,0,0,0,220,515
10/9/2023,Satun,480,160,0,0,0,0,0,640
10/9/2023,Uttaradit,585,195,0,0,11,0,240,1031
10/9/2023,Ubon Ratchathani,0,0,0,0,0,0,0,0
10/9/2023,Chiang Rai,675,225,0,0,115,0,1200,2215
10/9/2023,Chiang Mai,1375,267,0,0,0,0,31,1673
10/9/2023,Phetchabun,6,2,0,0,12,0,0,20
10/9/2023,spread,9,3,0,0,20,0,94,126
11/10/2023,Kalasin,238,116,0,0,0,0,1203,1557
11/10/2023,Kamphaeng Phet,6,2,0,0,0,0,78,86
11/10/2023,Khon Kaen,1392,464,0,0,10,0,11832,13698
11/10/2023,Chachoengsao,0,0,0,0,0,0,0,0
11/10/2023,Nakhon Ratchasima,33,11,0,0,23,0,85,152
11/10/2023,Nakhon Sawan,12,4,0,0,0,0,100,116
11/10/2023,Buriram,78,26,0,0,0,0,4861,4965
11/10/2023,Phichit,0,0,0,0,0,0,0,0
11/10/2023,Yala,108,36,0,0,36,0,0,180
11/10/2023,Nong Bua Lamphu,3,1,0,0,100,0,1400,1504
11/10/2023,Chiang Mai,3562,750,0,0,0,0,95,4407
11/11/2023,Nakhon Pathom,100,20,0,0,10,0,0,130
11/11/2023,Nakhon Si Thammarat,201,60,0,0,0,0,345,606
11/8/2023,Chiang Mai,9868,3768,0,0,0,0,5,13641
